Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16
ano8a,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gabpb2a,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
cemip,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mafb,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
mtm1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
cox5aa,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
dytn,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rprm3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cyp46a1.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ipmka,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
phf6,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
adgre5b.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agtpbp1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
agbl4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rad21b,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
rrbp1b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pfdn4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
LOC561325,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rangap1a,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
glod4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pcmtd1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:dkey-31g6.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
mtfr2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fam210ab,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
hdac1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tor1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
racgap1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
znf1028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
add3a,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
cplx4c,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
fndc1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
srsf10b,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
nudt12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
cdk17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
her8a,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
rbm12ba,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
batf3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ska3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mgat3a,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LOC571912,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
acta1a,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
vps4b,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tlx2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
msantd1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rpl23a,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
tmem234,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
adcy2b,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bcl10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sp4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
rbfox2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
si:ch211-212o1.2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
ndrg3b,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
mknk2b,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
dnal4b,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
si:ch211-251j10.3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ccdc85al,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
mrps28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tspan3a,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oat,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
si:ch211-190p8.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cyp26a1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sept7a,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
im:7138239,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
xrcc6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ngdn,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mogat3a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mylk4b,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ank3a,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
itsn1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
sinhcaf,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
tiam1b,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
mst1ra,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hs6st1b,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sh3bp5a,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ppp1r14ba,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
vrtn,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rpl19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
plxna3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
tuft1b,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
anp32e,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-163l21.8,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tdh2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
dnajc12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
lrrc47,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
myl6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
iars2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
slc41a1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rasgrp3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eefsec,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
aars2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
psme2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
phgdh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
arid5a,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ipo11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-201h21.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
gareml,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pfn2,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
znf800a,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
crygm7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cldne,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pmp22b,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
eif2s1b,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
mdn1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chmp2b,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
ncam1b,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hunk,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lman2la,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
ntrk2a,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
pus7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
tmem198a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ank1a,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pi4k2a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hccsa.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tsr1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
dixdc1b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ddx52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tsga10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
eral1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cyp2aa4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dnajc9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
