Unnamed: 0,Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16,ensembl_id
163,shank3b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000063054
164,rbm33b,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000094896
165,sox4a,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000004588
166,ponzr5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000055046
167,mideasb,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000053864
168,ddx47,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000102353
169,wdr46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000095879
170,si:ch211-278p9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000087532
171,ywhaqb,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSDARG00000023323
172,spopla,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000010563
173,si:dkey-7j22.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000097091
174,bmp10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000061769
175,abhd11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000069501
176,tns3.2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000031911
177,tmed7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000046022
178,cnot6a,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000008255
179,azin1b,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000035869
180,si:dkey-77f5.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000097481
181,rad23aa,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000020001
182,slc35a1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,ENSDARG00000040180
183,moxd1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000031136
184,nup133,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000010078
185,pdcd2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000007892
186,ncbp3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000044597
187,lrrc28,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000057477
188,cybb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000056615
189,ndr2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000101279
190,mtrr,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000045398
191,s100v1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000070427
192,fdps,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000040890
193,epha2b,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSDARG00000022727
194,arpc4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000054063
195,mob1a,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000102320
196,spty2d1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000033889
197,ier2b,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000086881
198,larp6b,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,ENSDARG00000003968
199,cox5ab,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000099663
200,tmem218,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000027129
201,afdna,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,MISSING
202,hif1al,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000100826
203,smad5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000037238
204,rab42b,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000101170
205,uqcc3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000093382
206,snip1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000087528
207,si:ch211-189a21.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MISSING
208,plekho1b,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,ENSDARG00000077499
209,igsf8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000038467
210,lrrfip1b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000095170
211,ddx20,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,ENSDARG00000061204
212,foxf2b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000070389
213,ppp6r2a,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000045540
214,anks3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,ENSDARG00000038557
215,polr2d,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000076509
216,aadacl4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000044802
217,erlec1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000086309
218,rab10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000046106
219,smim20,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000112670
220,ano8a,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MISSING
221,gabpb2a,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000007943
222,cemip,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000039881
223,mafb,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000076520
224,mtm1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,ENSDARG00000037560
225,cox5aa,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000088383
226,dytn,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000071025
227,rprm3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000092792
228,cyp46a1.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000113820
229,ipmka,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MISSING
230,phf6,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000004046
231,adgre5b.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000089904
232,agtpbp1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000105214
233,agbl4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000068050
234,rad21b,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000035655
235,rrbp1b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000041703
236,pfdn4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000061228
237,LOC561325,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MISSING
238,rangap1a,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000041317
239,glod4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000042509
240,pcmtd1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000053152
241,si:dkey-31g6.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000102218
242,mtfr2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000060394
243,fam210ab,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,ENSDARG00000040186
244,hdac1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000015427
