Gene	Pred	Actual
b'ENSDARG00000015273'	b'0.059419647'	b'0.0406075272091385'
b'ENSDARG00000015314'	b'0.059419647'	b'1.770718143576912'
b'ENSDARG00000015355'	b'0.059419647'	b'-0.3047501814495474'
b'ENSDARG00000015392'	b'0.059419647'	b'1.2712299126269004'
b'ENSDARG00000015449'	b'0.059419647'	b'-0.4202224713870701'
b'ENSDARG00000015566'	b'0.059419647'	b'-0.0143015066066366'
b'ENSDARG00000015759'	b'0.059419647'	b'2.425430276585628'
b'ENSDARG00000015860'	b'0.059419647'	b'-0.3229248651262978'
b'ENSDARG00000015918'	b'0.059419647'	b'1.6082082103245532'
b'ENSDARG00000015966'	b'0.059419647'	b'0.8420277583322767'
b'ENSDARG00000016016'	b'0.059419647'	b'1.022670728278512'
b'ENSDARG00000016048'	b'0.059419647'	b'0.6899386040848831'
b'ENSDARG00000016163'	b'0.059419647'	b'0.0893908038335833'
b'ENSDARG00000016188'	b'0.059419647'	b'-0.593282813148317'
b'ENSDARG00000016255'	b'0.059419647'	b'0.3752519650324419'
b'ENSDARG00000016302'	b'0.059419647'	b'0.8565494051024437'
b'ENSDARG00000016343'	b'0.059419647'	b'1.9903853846166255'
b'ENSDARG00000016357'	b'0.059419647'	b'1.2486104572710386'
b'ENSDARG00000016464'	b'0.059419647'	b'-0.3234111338330854'
b'ENSDARG00000016496'	b'0.059419647'	b'0.9992485006485956'
b'ENSDARG00000016538'	b'0.059419647'	b'-1.0349883248050111'
b'ENSDARG00000016611'	b'0.059419647'	b'-0.4098985443404028'
b'ENSDARG00000016706'	b'0.059419647'	b'1.1177006829868716'
b'ENSDARG00000016733'	b'0.059419647'	b'1.4138995519823798'
b'ENSDARG00000016745'	b'0.059419647'	b'1.7401039114271188'
b'ENSDARG00000016753'	b'0.059419647'	b'1.354400301092799'
b'ENSDARG00000016773'	b'0.059419647'	b'-0.3984074337053266'
b'ENSDARG00000016864'	b'0.059419647'	b'1.1909910006944049'
b'ENSDARG00000016908'	b'0.059419647'	b'-0.2975663173164807'
b'ENSDARG00000016936'	b'0.059419647'	b'0.0275277758756525'
b'ENSDARG00000016964'	b'0.059419647'	b'0.8634518092259087'
b'ENSDARG00000016968'	b'0.059419647'	b'1.50721443797007'
b'ENSDARG00000016981'	b'0.059419647'	b'-0.4706423008965665'
b'ENSDARG00000017014'	b'0.059419647'	b'2.0989364143691325'
b'ENSDARG00000017261'	b'0.059419647'	b'1.3847546460414772'
b'ENSDARG00000017369'	b'0.059419647'	b'-0.0778076175189119'
b'ENSDARG00000017400'	b'0.059419647'	b'0.2706728235165282'
b'ENSDARG00000017565'	b'0.059419647'	b'-1.0821715594458776'
b'ENSDARG00000017606'	b'0.059419647'	b'0.6893397679731981'
b'ENSDARG00000017658'	b'0.059419647'	b'1.3517550376629486'
b'ENSDARG00000017659'	b'0.059419647'	b'1.7237287174458145'
b'ENSDARG00000017708'	b'0.059419647'	b'0.683417173615757'
b'ENSDARG00000017748'	b'0.059419647'	b'0.2203860567704167'
b'ENSDARG00000017757'	b'0.059419647'	b'-0.13345767607677'
b'ENSDARG00000017811'	b'0.059419647'	b'0.9046163161114662'
b'ENSDARG00000017880'	b'0.059419647'	b'-1.0094831992736093'
b'ENSDARG00000017882'	b'0.059419647'	b'-1.0326662559457085'
b'ENSDARG00000017910'	b'0.059419647'	b'1.0795485798064728'
b'ENSDARG00000017927'	b'0.059419647'	b'-0.116168918839983'
b'ENSDARG00000017983'	b'0.059419647'	b'-1.0328483177901966'
b'ENSDARG00000018105'	b'0.059419647'	b'-0.0392060655541093'
b'ENSDARG00000018393'	b'0.059419647'	b'-0.1974625518876824'
b'ENSDARG00000018524'	b'0.059419647'	b'1.6516316429052764'
b'ENSDARG00000018559'	b'0.059419647'	b'0.1340969092820424'
b'ENSDARG00000018687'	b'0.059419647'	b'-1.087273617825811'
b'ENSDARG00000018691'	b'0.059419647'	b'0.4160359189617886'
b'ENSDARG00000018721'	b'0.059419647'	b'-0.5945166918651439'
b'ENSDARG00000018743'	b'0.059419647'	b'0.2896664846841736'
b'ENSDARG00000018817'	b'0.059419647'	b'-0.6388897920242299'
b'ENSDARG00000018953'	b'0.059419647'	b'1.1086910753372934'
b'ENSDARG00000018971'	b'0.059419647'	b'0.8331046801920631'
b'ENSDARG00000019008'	b'0.059419647'	b'1.052309035071546'
b'ENSDARG00000019179'	b'0.059419647'	b'-0.7874008174512861'
b'ENSDARG00000019208'	b'0.059419647'	b'-0.3586030876745428'
b'ENSDARG00000019274'	b'0.059419647'	b'1.6129624593261624'
b'ENSDARG00000019300'	b'0.059419647'	b'-0.2636556958783784'
b'ENSDARG00000019332'	b'0.059419647'	b'1.6382022152021858'
b'ENSDARG00000019355'	b'0.059419647'	b'0.330173141614236'
b'ENSDARG00000019398'	b'0.059419647'	b'1.5801049811715349'
b'ENSDARG00000019406'	b'0.059419647'	b'1.2100941271192454'
b'ENSDARG00000019444'	b'0.059419647'	b'2.903503031804365'
b'ENSDARG00000019498'	b'0.059419647'	b'-0.1729064414621303'
b'ENSDARG00000019658'	b'0.059419647'	b'-0.5240897750517112'
b'ENSDARG00000019693'	b'0.059419647'	b'0.5864181120838241'
b'ENSDARG00000019702'	b'0.059419647'	b'0.8986888046409753'
b'ENSDARG00000019706'	b'0.059419647'	b'-0.3488733953528808'
b'ENSDARG00000019835'	b'0.059419647'	b'1.298051837999115'
b'ENSDARG00000019920'	b'0.059419647'	b'0.293794943476083'
b'ENSDARG00000019990'	b'0.059419647'	b'-1.0654119804512756'
b'ENSDARG00000020007'	b'0.059419647'	b'2.622052128542373'
b'ENSDARG00000020009'	b'0.059419647'	b'0.5097486127569765'
b'ENSDARG00000020024'	b'0.059419647'	b'0.1979254020757887'
b'ENSDARG00000020031'	b'0.059419647'	b'-0.0762237055465598'
b'ENSDARG00000020041'	b'0.059419647'	b'0.4543178673635014'
b'ENSDARG00000020046'	b'0.059419647'	b'-1.0504012263256644'
b'ENSDARG00000020134'	b'0.059419647'	b'0.1156820705945936'
b'ENSDARG00000020158'	b'0.059419647'	b'0.0436063612224018'
b'ENSDARG00000020176'	b'0.059419647'	b'-0.7869208030248299'
b'ENSDARG00000020204'	b'0.059419647'	b'-0.6755022835734633'
b'ENSDARG00000020224'	b'0.059419647'	b'0.3830006384486474'
b'ENSDARG00000020289'	b'0.059419647'	b'0.4800934193400191'
b'ENSDARG00000020345'	b'0.059419647'	b'0.7249721018950094'
b'ENSDARG00000020417'	b'0.059419647'	b'0.6361773165290521'
b'ENSDARG00000020455'	b'0.059419647'	b'-1.0773868886680482'
b'ENSDARG00000020483'	b'0.059419647'	b'-1.0673431822390975'
b'ENSDARG00000020509'	b'0.059419647'	b'-1.0291165353652576'
b'ENSDARG00000020574'	b'0.059419647'	b'2.98306943073195'
b'ENSDARG00000020602'	b'0.059419647'	b'-0.8967898027116159'
b'ENSDARG00000020693'	b'0.059419647'	b'0.1450387548362711'
b'ENSDARG00000020702'	b'0.059419647'	b'0.7056617253367168'
b'ENSDARG00000020738'	b'0.059419647'	b'-0.8114583949589357'
b'ENSDARG00000020771'	b'0.059419647'	b'-1.0402980711690772'
b'ENSDARG00000020913'	b'0.059419647'	b'0.9231342721238496'
b'ENSDARG00000020924'	b'0.059419647'	b'-0.234158071757003'
b'ENSDARG00000021032'	b'0.059419647'	b'2.29063358961541'
b'ENSDARG00000021046'	b'0.059419647'	b'-0.2367871592757246'
b'ENSDARG00000021055'	b'0.059419647'	b'-0.895150785214186'
b'ENSDARG00000021110'	b'0.059419647'	b'-0.2657192138749212'
b'ENSDARG00000021124'	b'0.059419647'	b'3.329768870858559'
b'ENSDARG00000021257'	b'0.059419647'	b'2.514229793702349'
b'ENSDARG00000021584'	b'0.059419647'	b'-1.040862440307341'
b'ENSDARG00000021905'	b'0.059419647'	b'1.030000614286242'
b'ENSDARG00000021945'	b'0.059419647'	b'1.356497735773354'
b'ENSDARG00000022160'	b'0.059419647'	b'-0.5467564802951197'
b'ENSDARG00000022303'	b'0.059419647'	b'1.164140794113913'
b'ENSDARG00000022340'	b'0.059419647'	b'1.346837933802565'
b'ENSDARG00000022518'	b'0.059419647'	b'-1.0684445413489447'
b'ENSDARG00000022599'	b'0.059419647'	b'0.0845005411089545'
b'ENSDARG00000022614'	b'0.059419647'	b'-0.7102829895923284'
b'ENSDARG00000022690'	b'0.059419647'	b'1.0307371931781657'
b'ENSDARG00000022712'	b'0.059419647'	b'-0.0562360802290528'
b'ENSDARG00000022763'	b'0.059419647'	b'-0.6440316934841226'
b'ENSDARG00000022772'	b'0.059419647'	b'-0.9397085961148904'
b'ENSDARG00000022817'	b'0.059419647'	b'0.7281206886392042'
b'ENSDARG00000022841'	b'0.059419647'	b'-0.9806301373437556'
b'ENSDARG00000022895'	b'0.059419647'	b'-0.8182606045819598'
b'ENSDARG00000023104'	b'0.059419647'	b'-0.6419595647691171'
b'ENSDARG00000023188'	b'0.059419647'	b'0.0961780555491074'
b'ENSDARG00000023298'	b'0.059419647'	b'3.363132158252567'
b'ENSDARG00000023526'	b'0.059419647'	b'-0.9989538309468784'
