Gene ID,Median RPKM,Mean RPKM,Sample variance RPKM,Difference RPKM,Median log RPKM,Mean log RPKM,Sample variance log RPKM,Difference log RPKM
ENSDARG00000009253,1.7085303319045129,2.0436162282353987,1.7956085966052275,5.9192969407261815,0.2573257969617741,0.23019706380476454,0.11154975725032228,1.5876733227683484
ENSDARG00000009266,0.2907517941777943,0.5058236085243574,0.25560147032926905,2.2535461020887806,-0.4080990191955913,-0.33946463540358146,0.10699645462718411,1.3272000605693468
ENSDARG00000009273,1.780831773932864,2.5757616232377782,7.056226158062424,11.69044172113037,0.2743499529560745,0.19059795777364644,0.2804479746647758,2.0298491168034807
ENSDARG00000009280,0.1456312420072325,4.644879298526643,196.57575199703763,54.60647327204302,-0.6097163958027276,-0.3287574092415704,0.5628811306641908,2.738038718289452
ENSDARG00000009281,0.0056843049513981,0.2180771479941181,0.34331377229789745,2.595033971753902,-0.9759895044533512,-0.7765353590341698,0.14974349098401865,1.4305642439762907
ENSDARG00000009285,37.91427853596136,45.72387260968213,2027.5395299510785,142.29919120692807,1.5799467525283055,1.1618193894871416,0.8762793192963744,2.7274192248841014
ENSDARG00000009299,0.2904106637168445,0.3599601257480048,0.10824980763721975,1.4011233891601325,-0.40847832847939,-0.43206527026510005,0.08498833164869884,1.1271652608772018
ENSDARG00000009311,0.0179754872213573,0.3008596964002883,0.5474308051911647,4.043582496099806,-0.9282082204091704,-0.6947560114761941,0.18352060321032104,1.6173759897935165
ENSDARG00000009313,2.8198429353103545,9.65580140263774,274.7186435068818,66.94587617272607,0.4653594904338201,0.4835989565118695,0.49066111057324135,2.737235028709438
ENSDARG00000009315,0.8295163879065568,1.7015738110162895,8.601243890142808,15.750679394530552,-0.0317429489640059,-0.07375169760204754,0.27189549678199465,2.0843777165059674
ENSDARG00000009336,2.790114316860496,4.269689381648659,21.46193214025262,18.792334532015357,0.4609150213723975,0.34944923291841895,0.3405433227135308,2.194065876479284
ENSDARG00000009341,0.176641809621224,1.3821090931513353,7.042186272411966,9.207226340870667,-0.5580821831724463,-0.3553545384747572,0.40256548676063897,1.9688202755756816
ENSDARG00000009342,3.343352891236945,5.09059077182414,18.125022038925373,16.53488688684406,0.5369815335566359,0.5622946605058835,0.15571498692239122,1.6069327235720872
ENSDARG00000009346,1.0305376727242943,1.5632978470014818,4.334997824974488,9.612707990983514,0.0532850388473917,-0.03949349962574812,0.24073123336141392,1.761661612032919
ENSDARG00000009350,2.105125614464512,2.5484527460023596,2.8254491685408634,5.669915183119342,0.3434333339920373,0.3087174250994644,0.12513219827834277,1.2896074338244647
ENSDARG00000009351,0.2609864440938945,0.5374236038114896,0.46055827781859987,2.182857856486962,-0.4425091065867457,-0.4140219907800325,0.1886978275338414,1.3584788707258002
ENSDARG00000009372,0.0,0.7070361494988608,3.662547874720265,8.226350193593323,-1.0,-0.6389787075823232,0.3200038941284359,1.9204546726985914
ENSDARG00000009387,0.2230817110776462,0.4824702929766657,0.37845630036319955,3.2414733408153085,-0.4906876257114345,-0.39104355761450826,0.12611304840588022,1.456926356290145
ENSDARG00000009390,1.3883895376405335,1.942629119067038,2.8642635762119952,6.450979760555397,0.1727166085673454,0.1666317050096724,0.13727309530429246,1.3985788641386452
ENSDARG00000009401,0.1718644628097505,0.2679699067362903,0.09093196177988182,1.4262011634842573,-0.5656475581877767,-0.5538433014056773,0.10568545531668555,1.1836117802986317
ENSDARG00000009418,0.277805480778288,0.2933744252424606,0.059012388413194436,1.1522566425511882,-0.4227317461111101,-0.4904865590637352,0.08439353425177526,1.0943997988373395
ENSDARG00000009436,0.4269213906939343,0.5096520998434825,0.24956174444229445,2.5809266756387355,-0.2782541706210369,-0.3304384858045798,0.10516791890261082,1.3319477195620606
ENSDARG00000009438,0.0378177548737954,0.23083231851398928,0.6793510954592616,4.798095708780485,-0.8606948292570854,-0.7595902770432843,0.11820173605991756,1.690027266984925
ENSDARG00000009447,42.84789757806602,62.02202849811595,5216.81408389412,287.76289122433366,1.632941908735529,1.292425959971786,0.8220715123421635,3.113669258812471
ENSDARG00000009459,0.1014553579896487,0.186713605604392,0.0408206283582404,0.9980146567343148,-0.6958211774471394,-0.6250011028968346,0.06902929195985466,1.0406081372874354
ENSDARG00000009466,0.0,0.2537885386881847,1.9553353596934995,8.286591873006262,-1.0,-0.8931540261399793,0.11151256299785357,1.9235855089273164
ENSDARG00000009470,0.0693275193165888,0.4558679971615659,0.45770295412067286,2.39336775848154,-0.7712724540818356,-0.5289156994736101,0.22662197918260002,1.3967863393541684
ENSDARG00000009472,0.6366011315449238,0.7904938494349574,0.6870462616308611,3.90751708719594,-0.1327676183302248,-0.20925107140146829,0.14697028336933907,1.4307524438945038
ENSDARG00000009473,1.1993765709729476,1.7757751519045093,2.1426418918436454,6.095374919799766,0.1137350317468055,0.14793117754173296,0.12745662906856128,1.7506616125587908
