Gene ID,Majority detection flag
ENSG00000063601,present
ENSG00000063660,present
ENSG00000063761,present
ENSG00000063854,present
ENSG00000063978,present
ENSG00000064012,present
ENSG00000064042,present
ENSG00000064102,present
ENSG00000064115,present
ENSG00000064195,present
ENSG00000064199,present
ENSG00000064201,present
ENSG00000064205,present
ENSG00000064218,absent
ENSG00000064225,present
ENSG00000064270,present
ENSG00000064300,present
ENSG00000064309,present
ENSG00000064313,present
ENSG00000064393,present
ENSG00000064419,present
ENSG00000064489,present
ENSG00000064490,present
ENSG00000064545,present
ENSG00000064547,present
ENSG00000064601,present
ENSG00000064607,present
ENSG00000064651,present
ENSG00000064652,present
ENSG00000064655,present
ENSG00000064666,present
ENSG00000064687,present
ENSG00000064692,present
ENSG00000064703,present
ENSG00000064726,present
ENSG00000064763,present
ENSG00000064787,present
ENSG00000064835,present
ENSG00000064886,present
ENSG00000064932,present
ENSG00000064933,present
ENSG00000064961,present
ENSG00000064989,present
ENSG00000064995,present
ENSG00000064999,present
ENSG00000065000,present
ENSG00000065029,present
ENSG00000065054,present
ENSG00000065057,present
ENSG00000065060,present
ENSG00000065135,present
ENSG00000065150,present
ENSG00000065154,present
ENSG00000065183,present
ENSG00000065243,present
ENSG00000065268,present
ENSG00000065308,present
ENSG00000065320,present
ENSG00000065325,present
ENSG00000065328,present
ENSG00000065357,present
ENSG00000065361,present
ENSG00000065371,present
ENSG00000065413,present
ENSG00000065427,present
ENSG00000065457,present
ENSG00000065485,present
ENSG00000065491,present
ENSG00000065518,present
ENSG00000065526,present
ENSG00000065534,present
ENSG00000065548,present
ENSG00000065559,present
ENSG00000065600,present
ENSG00000065609,present
ENSG00000065613,present
ENSG00000065615,present
ENSG00000065618,present
ENSG00000065621,present
ENSG00000065665,present
ENSG00000065675,present
ENSG00000065717,present
ENSG00000065802,present
ENSG00000065809,present
ENSG00000065833,present
ENSG00000065882,present
ENSG00000065883,present
ENSG00000065911,present
ENSG00000065923,present
ENSG00000065970,present
ENSG00000065978,present
ENSG00000065989,present
ENSG00000066027,present
ENSG00000066032,present
ENSG00000066044,present
ENSG00000066056,present
ENSG00000066084,present
ENSG00000066117,present
ENSG00000066135,present
ENSG00000066136,present
ENSG00000066185,present
ENSG00000066230,present
ENSG00000066248,present
ENSG00000066279,present
ENSG00000066294,present
ENSG00000066322,present
ENSG00000066336,present
ENSG00000066379,present
ENSG00000066382,present
ENSG00000066405,present
ENSG00000066422,present
ENSG00000066427,present
ENSG00000066455,present
ENSG00000066468,present
ENSG00000066557,present
ENSG00000066583,present
ENSG00000066629,present
ENSG00000066651,present
ENSG00000066654,present
ENSG00000066697,present
ENSG00000066735,present
ENSG00000066739,present
ENSG00000066777,present
ENSG00000066813,present
ENSG00000066827,present
ENSG00000066855,present
ENSG00000066923,present
ENSG00000066926,present
ENSG00000066933,present
ENSG00000067048,present
ENSG00000067057,present
ENSG00000067064,present
ENSG00000067066,present
ENSG00000067082,present
ENSG00000067113,present
ENSG00000067141,present
ENSG00000067167,present
ENSG00000067177,present
ENSG00000067182,present
ENSG00000067191,present
ENSG00000067208,present
ENSG00000067221,present
ENSG00000067225,present
ENSG00000067248,present
ENSG00000067334,present
ENSG00000067365,present
ENSG00000067369,present
ENSG00000067445,present
ENSG00000067533,present
ENSG00000067560,present
ENSG00000067596,present
ENSG00000067601,present
ENSG00000067606,present
ENSG00000067646,present
ENSG00000067704,present
ENSG00000067715,present
ENSG00000067798,present
ENSG00000067829,present
ENSG00000067836,present
ENSG00000067840,present
ENSG00000067842,absent
ENSG00000067900,present
ENSG00000067955,present
ENSG00000067992,present
ENSG00000068001,present
ENSG00000068024,present
ENSG00000068028,present
ENSG00000068078,present
ENSG00000068079,present
ENSG00000068097,present
ENSG00000068120,present
ENSG00000068137,present
ENSG00000068305,present
ENSG00000068308,present
ENSG00000068323,present
ENSG00000068354,present
ENSG00000068366,present
ENSG00000068383,present
ENSG00000068394,present
ENSG00000068400,present
ENSG00000068438,present
ENSG00000068489,present
ENSG00000068615,present
ENSG00000068650,present
ENSG00000068654,present
ENSG00000068697,present
ENSG00000068724,present
ENSG00000068745,present
ENSG00000068781,present
ENSG00000068784,present
ENSG00000068796,present
ENSG00000068831,present
ENSG00000068878,present
ENSG00000068885,present
ENSG00000068903,present
ENSG00000068912,present
ENSG00000068971,present
ENSG00000068976,present
ENSG00000068985,absent
ENSG00000069011,present
ENSG00000069018,absent
ENSG00000069020,present
ENSG00000069122,present
ENSG00000069188,present
ENSG00000069206,absent
ENSG00000069248,present
ENSG00000069275,present
ENSG00000069329,present
ENSG00000069345,present
ENSG00000069399,present
ENSG00000069424,present
ENSG00000069431,present
ENSG00000069482,present
ENSG00000069493,present
ENSG00000069509,present
ENSG00000069535,present
ENSG00000069667,present
ENSG00000069696,present
ENSG00000069702,present
ENSG00000069764,present
ENSG00000069812,present
ENSG00000069849,present
ENSG00000069869,present
ENSG00000069943,present
ENSG00000069956,present
ENSG00000069966,present
ENSG00000069974,present
ENSG00000069998,present
ENSG00000070010,present
ENSG00000070018,present
ENSG00000070019,present
ENSG00000070031,present
ENSG00000070047,present
ENSG00000070061,present
ENSG00000070081,present
ENSG00000070087,present
ENSG00000070159,present
